DateID,Date,DayofWeek,Month,Quarter,Year,Isweekend
20140101,2014-01-01,2,1,1,2014,False
20140102,2014-01-02,3,1,1,2014,False
20140103,2014-01-03,4,1,1,2014,False
20140104,2014-01-04,5,1,1,2014,True
20140105,2014-01-05,6,1,1,2014,True
20140106,2014-01-06,0,1,1,2014,False
20140107,2014-01-07,1,1,1,2014,False
20140108,2014-01-08,2,1,1,2014,False
20140109,2014-01-09,3,1,1,2014,False
20140110,2014-01-10,4,1,1,2014,False
20140111,2014-01-11,5,1,1,2014,True
20140112,2014-01-12,6,1,1,2014,True
20140113,2014-01-13,0,1,1,2014,False
20140114,2014-01-14,1,1,1,2014,False
20140115,2014-01-15,2,1,1,2014,False
20140116,2014-01-16,3,1,1,2014,False
20140117,2014-01-17,4,1,1,2014,False
20140118,2014-01-18,5,1,1,2014,True
20140119,2014-01-19,6,1,1,2014,True
20140120,2014-01-20,0,1,1,2014,False
20140121,2014-01-21,1,1,1,2014,False
20140122,2014-01-22,2,1,1,2014,False
20140123,2014-01-23,3,1,1,2014,False
20140124,2014-01-24,4,1,1,2014,False
20140125,2014-01-25,5,1,1,2014,True
20140126,2014-01-26,6,1,1,2014,True
20140127,2014-01-27,0,1,1,2014,False
20140128,2014-01-28,1,1,1,2014,False
20140129,2014-01-29,2,1,1,2014,False
20140130,2014-01-30,3,1,1,2014,False
20140131,2014-01-31,4,1,1,2014,False
20140201,2014-02-01,5,2,1,2014,True
20140202,2014-02-02,6,2,1,2014,True
20140203,2014-02-03,0,2,1,2014,False
20140204,2014-02-04,1,2,1,2014,False
20140205,2014-02-05,2,2,1,2014,False
20140206,2014-02-06,3,2,1,2014,False
20140207,2014-02-07,4,2,1,2014,False
20140208,2014-02-08,5,2,1,2014,True
20140209,2014-02-09,6,2,1,2014,True
20140210,2014-02-10,0,2,1,2014,False
20140211,2014-02-11,1,2,1,2014,False
20140212,2014-02-12,2,2,1,2014,False
20140213,2014-02-13,3,2,1,2014,False
20140214,2014-02-14,4,2,1,2014,False
20140215,2014-02-15,5,2,1,2014,True
20140216,2014-02-16,6,2,1,2014,True
20140217,2014-02-17,0,2,1,2014,False
20140218,2014-02-18,1,2,1,2014,False
20140219,2014-02-19,2,2,1,2014,False
20140220,2014-02-20,3,2,1,2014,False
20140221,2014-02-21,4,2,1,2014,False
20140222,2014-02-22,5,2,1,2014,True
20140223,2014-02-23,6,2,1,2014,True
20140224,2014-02-24,0,2,1,2014,False
20140225,2014-02-25,1,2,1,2014,False
20140226,2014-02-26,2,2,1,2014,False
20140227,2014-02-27,3,2,1,2014,False
20140228,2014-02-28,4,2,1,2014,False
20140301,2014-03-01,5,3,1,2014,True
20140302,2014-03-02,6,3,1,2014,True
20140303,2014-03-03,0,3,1,2014,False
20140304,2014-03-04,1,3,1,2014,False
20140305,2014-03-05,2,3,1,2014,False
20140306,2014-03-06,3,3,1,2014,False
20140307,2014-03-07,4,3,1,2014,False
20140308,2014-03-08,5,3,1,2014,True
20140309,2014-03-09,6,3,1,2014,True
20140310,2014-03-10,0,3,1,2014,False
20140311,2014-03-11,1,3,1,2014,False
20140312,2014-03-12,2,3,1,2014,False
20140313,2014-03-13,3,3,1,2014,False
20140314,2014-03-14,4,3,1,2014,False
20140315,2014-03-15,5,3,1,2014,True
20140316,2014-03-16,6,3,1,2014,True
20140317,2014-03-17,0,3,1,2014,False
20140318,2014-03-18,1,3,1,2014,False
20140319,2014-03-19,2,3,1,2014,False
20140320,2014-03-20,3,3,1,2014,False
20140321,2014-03-21,4,3,1,2014,False
20140322,2014-03-22,5,3,1,2014,True
20140323,2014-03-23,6,3,1,2014,True
20140324,2014-03-24,0,3,1,2014,False
20140325,2014-03-25,1,3,1,2014,False
20140326,2014-03-26,2,3,1,2014,False
20140327,2014-03-27,3,3,1,2014,False
20140328,2014-03-28,4,3,1,2014,False
20140329,2014-03-29,5,3,1,2014,True
20140330,2014-03-30,6,3,1,2014,True
20140331,2014-03-31,0,3,1,2014,False
20140401,2014-04-01,1,4,2,2014,False
20140402,2014-04-02,2,4,2,2014,False
20140403,2014-04-03,3,4,2,2014,False
20140404,2014-04-04,4,4,2,2014,False
20140405,2014-04-05,5,4,2,2014,True
20140406,2014-04-06,6,4,2,2014,True
20140407,2014-04-07,0,4,2,2014,False
20140408,2014-04-08,1,4,2,2014,False
20140409,2014-04-09,2,4,2,2014,False
20140410,2014-04-10,3,4,2,2014,False
20140411,2014-04-11,4,4,2,2014,False
20140412,2014-04-12,5,4,2,2014,True
20140413,2014-04-13,6,4,2,2014,True
20140414,2014-04-14,0,4,2,2014,False
20140415,2014-04-15,1,4,2,2014,False
20140416,2014-04-16,2,4,2,2014,False
20140417,2014-04-17,3,4,2,2014,False
20140418,2014-04-18,4,4,2,2014,False
20140419,2014-04-19,5,4,2,2014,True
20140420,2014-04-20,6,4,2,2014,True
20140421,2014-04-21,0,4,2,2014,False
20140422,2014-04-22,1,4,2,2014,False
20140423,2014-04-23,2,4,2,2014,False
20140424,2014-04-24,3,4,2,2014,False
20140425,2014-04-25,4,4,2,2014,False
20140426,2014-04-26,5,4,2,2014,True
20140427,2014-04-27,6,4,2,2014,True
20140428,2014-04-28,0,4,2,2014,False
20140429,2014-04-29,1,4,2,2014,False
20140430,2014-04-30,2,4,2,2014,False
20140501,2014-05-01,3,5,2,2014,False
20140502,2014-05-02,4,5,2,2014,False
20140503,2014-05-03,5,5,2,2014,True
20140504,2014-05-04,6,5,2,2014,True
20140505,2014-05-05,0,5,2,2014,False
20140506,2014-05-06,1,5,2,2014,False
20140507,2014-05-07,2,5,2,2014,False
20140508,2014-05-08,3,5,2,2014,False
20140509,2014-05-09,4,5,2,2014,False
20140510,2014-05-10,5,5,2,2014,True
20140511,2014-05-11,6,5,2,2014,True
20140512,2014-05-12,0,5,2,2014,False
20140513,2014-05-13,1,5,2,2014,False
20140514,2014-05-14,2,5,2,2014,False
20140515,2014-05-15,3,5,2,2014,False
20140516,2014-05-16,4,5,2,2014,False
20140517,2014-05-17,5,5,2,2014,True
20140518,2014-05-18,6,5,2,2014,True
20140519,2014-05-19,0,5,2,2014,False
20140520,2014-05-20,1,5,2,2014,False
20140521,2014-05-21,2,5,2,2014,False
20140522,2014-05-22,3,5,2,2014,False
20140523,2014-05-23,4,5,2,2014,False
20140524,2014-05-24,5,5,2,2014,True
20140525,2014-05-25,6,5,2,2014,True
20140526,2014-05-26,0,5,2,2014,False
20140527,2014-05-27,1,5,2,2014,False
20140528,2014-05-28,2,5,2,2014,False
20140529,2014-05-29,3,5,2,2014,False
20140530,2014-05-30,4,5,2,2014,False
20140531,2014-05-31,5,5,2,2014,True
20140601,2014-06-01,6,6,2,2014,True
20140602,2014-06-02,0,6,2,2014,False
20140603,2014-06-03,1,6,2,2014,False
20140604,2014-06-04,2,6,2,2014,False
20140605,2014-06-05,3,6,2,2014,False
20140606,2014-06-06,4,6,2,2014,False
20140607,2014-06-07,5,6,2,2014,True
20140608,2014-06-08,6,6,2,2014,True
20140609,2014-06-09,0,6,2,2014,False
20140610,2014-06-10,1,6,2,2014,False
20140611,2014-06-11,2,6,2,2014,False
20140612,2014-06-12,3,6,2,2014,False
20140613,2014-06-13,4,6,2,2014,False
20140614,2014-06-14,5,6,2,2014,True
20140615,2014-06-15,6,6,2,2014,True
20140616,2014-06-16,0,6,2,2014,False
20140617,2014-06-17,1,6,2,2014,False
20140618,2014-06-18,2,6,2,2014,False
20140619,2014-06-19,3,6,2,2014,False
20140620,2014-06-20,4,6,2,2014,False
20140621,2014-06-21,5,6,2,2014,True
20140622,2014-06-22,6,6,2,2014,True
20140623,2014-06-23,0,6,2,2014,False
20140624,2014-06-24,1,6,2,2014,False
20140625,2014-06-25,2,6,2,2014,False
20140626,2014-06-26,3,6,2,2014,False
20140627,2014-06-27,4,6,2,2014,False
20140628,2014-06-28,5,6,2,2014,True
20140629,2014-06-29,6,6,2,2014,True
20140630,2014-06-30,0,6,2,2014,False
20140701,2014-07-01,1,7,3,2014,False
20140702,2014-07-02,2,7,3,2014,False
20140703,2014-07-03,3,7,3,2014,False
20140704,2014-07-04,4,7,3,2014,False
20140705,2014-07-05,5,7,3,2014,True
20140706,2014-07-06,6,7,3,2014,True
20140707,2014-07-07,0,7,3,2014,False
20140708,2014-07-08,1,7,3,2014,False
20140709,2014-07-09,2,7,3,2014,False
20140710,2014-07-10,3,7,3,2014,False
20140711,2014-07-11,4,7,3,2014,False
20140712,2014-07-12,5,7,3,2014,True
20140713,2014-07-13,6,7,3,2014,True
20140714,2014-07-14,0,7,3,2014,False
20140715,2014-07-15,1,7,3,2014,False
20140716,2014-07-16,2,7,3,2014,False
20140717,2014-07-17,3,7,3,2014,False
20140718,2014-07-18,4,7,3,2014,False
20140719,2014-07-19,5,7,3,2014,True
20140720,2014-07-20,6,7,3,2014,True
20140721,2014-07-21,0,7,3,2014,False
20140722,2014-07-22,1,7,3,2014,False
20140723,2014-07-23,2,7,3,2014,False
20140724,2014-07-24,3,7,3,2014,False
20140725,2014-07-25,4,7,3,2014,False
20140726,2014-07-26,5,7,3,2014,True
20140727,2014-07-27,6,7,3,2014,True
20140728,2014-07-28,0,7,3,2014,False
20140729,2014-07-29,1,7,3,2014,False
20140730,2014-07-30,2,7,3,2014,False
20140731,2014-07-31,3,7,3,2014,False
20140801,2014-08-01,4,8,3,2014,False
20140802,2014-08-02,5,8,3,2014,True
20140803,2014-08-03,6,8,3,2014,True
20140804,2014-08-04,0,8,3,2014,False
20140805,2014-08-05,1,8,3,2014,False
20140806,2014-08-06,2,8,3,2014,False
20140807,2014-08-07,3,8,3,2014,False
20140808,2014-08-08,4,8,3,2014,False
20140809,2014-08-09,5,8,3,2014,True
20140810,2014-08-10,6,8,3,2014,True
20140811,2014-08-11,0,8,3,2014,False
20140812,2014-08-12,1,8,3,2014,False
20140813,2014-08-13,2,8,3,2014,False
20140814,2014-08-14,3,8,3,2014,False
20140815,2014-08-15,4,8,3,2014,False
20140816,2014-08-16,5,8,3,2014,True
20140817,2014-08-17,6,8,3,2014,True
20140818,2014-08-18,0,8,3,2014,False
20140819,2014-08-19,1,8,3,2014,False
20140820,2014-08-20,2,8,3,2014,False
20140821,2014-08-21,3,8,3,2014,False
20140822,2014-08-22,4,8,3,2014,False
20140823,2014-08-23,5,8,3,2014,True
20140824,2014-08-24,6,8,3,2014,True
20140825,2014-08-25,0,8,3,2014,False
20140826,2014-08-26,1,8,3,2014,False
20140827,2014-08-27,2,8,3,2014,False
20140828,2014-08-28,3,8,3,2014,False
20140829,2014-08-29,4,8,3,2014,False
20140830,2014-08-30,5,8,3,2014,True
20140831,2014-08-31,6,8,3,2014,True
20140901,2014-09-01,0,9,3,2014,False
20140902,2014-09-02,1,9,3,2014,False
