ProductName,Category,Brand,UnitPrice
Badminton Set,Home & Furniture,FakeUrbanGlow,719
Sled,Toys & Games,FakeUrbanGlow,133
Tackle Box,Kitchen & Dining,FakeZenithStyle,679
VR Headset,Health & Fitness,FakeZenithStyle,112
Drone,Electronics,FakeZenithStyle,179
Tent,Health & Fitness,FakeEtherealEdge,670
Kayak,Sports & Recreation,FakeZenithStyle,949
Snow Shovel,Health & Fitness,FakeEtherealEdge,857
Jacket,Electronics,FakeLuxeAura,362
Sheets,Home & Furniture,FakeVelvetVista,153
3D Printer,Health & Fitness,FakeUrbanGlow,375
Fitness Tracker,Outdoor & Garden,FakeVelvetVista,313
Rain Jacket,Sports & Recreation,FakeEtherealEdge,541
Basketball,Kitchen & Dining,FakeZenithStyle,314
Memory Card,Arts & Crafts,FakeEtherealEdge,822
Suitcase,Sports & Recreation,FakeVelvetVista,625
Fitness Tracker,Electronics,FakeLuxeAura,640
Garden Tools,Kitchen & Dining,FakeVelvetVista,588
Suitcase,Sports & Recreation,FakeZenithStyle,142
Supplement,Sports & Recreation,FakeVelvetVista,166
Hair Dryer,Kitchen & Dining,FakeEtherealEdge,293
VR Headset,Outdoor & Garden,FakeVelvetVista,581
Backpack,Home & Furniture,FakeZenithStyle,688
Dumbbells,Outdoor & Garden,FakeUrbanGlow,501
Portable Hard Drive,Arts & Crafts,FakeVelvetVista,749
Lawn Sprinkler,Electronics,FakeEtherealEdge,180
Oven,Toys & Games,FakeZenithStyle,349
Dart Board,Electronics,FakeVelvetVista,613
Earbuds,Arts & Crafts,FakeUrbanGlow,218
Sleeping Bag,Arts & Crafts,FakeUrbanGlow,389
Action Figure,Health & Fitness,FakeLuxeAura,794
VR Headset,Home & Furniture,FakeLuxeAura,932
Vacuum Cleaner,Electronics,FakeVelvetVista,729
Stove,Toys & Games,FakeLuxeAura,863
Lawn Sprinkler,Toys & Games,FakeUrbanGlow,399
Tarp,Arts & Crafts,FakeVelvetVista,671
Laser Printer,Outdoor & Garden,FakeUrbanGlow,641
Antivirus,Sports & Recreation,FakeEtherealEdge,921
Badminton Set,Arts & Crafts,FakeLuxeAura,394
Tent,Home & Furniture,FakeZenithStyle,804
Juicer,Health & Fitness,FakeZenithStyle,363
Basketball,Kitchen & Dining,FakeVelvetVista,817
Backpack,Pets,FakeLuxeAura,774
Drone,Health & Fitness,FakeZenithStyle,492
3D Printer,Kitchen & Dining,FakeVelvetVista,873
Dog Collar,Sports & Recreation,FakeZenithStyle,466
Memory Card,Pets,FakeZenithStyle,127
Laptop,Sports & Recreation,FakeLuxeAura,417
Camping Tent,Outdoor & Garden,FakeUrbanGlow,413
Smart Light,Pets,FakeZenithStyle,736
Camera,Arts & Crafts,FakeUrbanGlow,697
Dart Board,Arts & Crafts,FakeUrbanGlow,191
Sleeping Bag,Pets,FakeEtherealEdge,746
Refrigerator,Home Appliances,FakeEtherealEdge,837
Board Game,Health & Fitness,FakeVelvetVista,750
Cat Litter Box,Outdoor & Garden,FakeZenithStyle,220
Cat Tree,Kitchen & Dining,FakeZenithStyle,405
Router,Health & Fitness,FakeVelvetVista,985
Patio Furniture,Pets,FakeVelvetVista,345
